date,acute,icu,total
2020-09-02,257,113,370
2020-09-02,257,113,370
2020-09-02,257,113,370
2020-09-03,270,112,382
2020-09-03,270,112,382
2020-09-03,270,112,382
2020-09-04,287,108,395
2020-09-04,287,108,395
2020-09-04,287,108,395
2020-09-05,253,100,353
2020-09-05,253,100,353
2020-09-05,253,100,353
2020-09-06,245,96,341
2020-09-06,245,96,341
2020-09-06,245,96,341
2020-09-07,253,109,362
2020-09-07,253,109,362
2020-09-07,253,109,362
2020-09-08,263,102,365
2020-09-08,263,102,365
2020-09-08,263,102,365
2020-09-09,275,95,370
2020-09-09,275,95,370
2020-09-09,275,95,370
2020-09-10,266,92,358
2020-09-10,266,92,358
2020-09-10,266,92,358
2020-09-11,280,89,369
2020-09-11,280,89,369
2020-09-11,280,89,369
2020-09-12,276,85,361
2020-09-12,276,85,361
2020-09-12,276,85,361
2020-09-13,262,89,351
2020-09-13,262,89,351
2020-09-13,262,89,351
2020-09-14,257,90,347
2020-09-14,257,90,347
2020-09-14,257,90,347
2020-09-15,278,93,371
2020-09-15,278,93,371
2020-09-15,278,93,371
2020-09-16,261,86,347
2020-09-16,261,86,347
2020-09-16,261,86,347
2020-09-17,270,83,353
2020-09-17,270,83,353
2020-09-17,270,83,353
2020-09-18,263,84,347
2020-09-18,263,84,347
2020-09-18,263,84,347
2020-09-19,249,75,324
2020-09-19,249,75,324
2020-09-19,249,75,324
2020-09-20,213,68,281
2020-09-20,213,68,281
2020-09-20,213,68,281
2020-09-21,219,71,290
2020-09-21,219,71,290
2020-09-21,219,71,290
2020-09-22,232,77,309
2020-09-22,232,77,309
2020-09-22,232,77,309
2020-09-23,253,79,332
2020-09-23,253,79,332
2020-09-23,253,79,332
2020-09-24,268,81,349
2020-09-24,268,81,349
2020-09-24,268,81,349
2020-09-25,265,79,344
2020-09-25,265,79,344
2020-09-25,265,79,344
2020-09-26,266,81,347
2020-09-26,266,81,347
2020-09-26,266,81,347
2020-09-27,238,90,328
2020-09-27,238,90,328
2020-09-27,238,90,328
2020-09-28,233,82,315
2020-09-28,233,82,315
2020-09-28,233,82,315
2020-09-29,265,79,344
2020-09-29,265,79,344
2020-09-29,265,79,344
2020-09-30,257,77,334
2020-09-30,257,77,334
2020-09-30,257,77,334
2020-10-01,257,74,331
2020-10-01,257,74,331
2020-10-01,257,74,331
2020-10-02,243,80,323
2020-10-02,243,80,323
2020-10-02,243,80,323
2020-10-03,245,78,323
2020-10-03,245,78,323
2020-10-03,245,78,323
2020-10-04,243,77,320
2020-10-04,243,77,320
2020-10-04,243,77,320
2020-10-05,253,85,338
2020-10-05,253,85,338
2020-10-05,253,85,338
2020-10-06,272,88,360
2020-10-06,272,88,360
2020-10-06,272,88,360
2020-10-07,298,93,391
2020-10-07,298,93,391
2020-10-07,298,93,391
2020-10-08,305,98,403
2020-10-08,305,98,403
2020-10-08,305,98,403
2020-10-09,295,96,391
2020-10-09,295,96,391
2020-10-09,295,96,391
2020-10-10,292,91,383
2020-10-10,292,91,383
2020-10-10,292,91,383
2020-10-11,303,90,393
2020-10-11,303,90,393
2020-10-11,303,90,393
2020-10-12,291,93,384
2020-10-12,291,93,384
2020-10-12,291,93,384
2020-10-13,300,102,402
2020-10-13,300,102,402
2020-10-13,300,102,402
2020-10-14,304,113,417
2020-10-14,304,113,417
2020-10-14,304,113,417
2020-10-15,303,109,412
2020-10-15,303,109,412
2020-10-15,303,109,412
2020-10-16,305,111,416
2020-10-16,305,111,416
2020-10-16,305,111,416
2020-10-17,314,108,422
2020-10-17,314,108,422
2020-10-17,314,108,422
2020-10-18,318,115,433
2020-10-18,318,115,433
2020-10-18,318,115,433
2020-10-19,318,116,434
2020-10-19,318,116,434
2020-10-19,318,116,434
2020-10-20,341,123,464
2020-10-20,341,123,464
2020-10-20,341,123,464
2020-10-21,332,131,463
2020-10-21,332,131,463
2020-10-21,332,131,463
2020-10-22,333,125,458
2020-10-22,333,125,458
2020-10-22,333,125,458
2020-10-23,336,122,458
2020-10-23,336,122,458
2020-10-23,336,122,458
2020-10-24,346,109,455
2020-10-24,346,109,455
2020-10-24,346,109,455
2020-10-25,343,103,446
2020-10-25,343,103,446
2020-10-25,343,103,446
2020-10-26,344,112,456
2020-10-26,344,112,456
2020-10-26,344,112,456
2020-10-27,366,105,471
2020-10-27,366,105,471
2020-10-27,366,105,471
2020-10-28,387,114,501
2020-10-28,387,114,501
2020-10-28,387,114,501
2020-10-29,382,120,502
2020-10-29,382,120,502
2020-10-29,382,120,502
2020-10-30,387,126,513
2020-10-30,387,126,513
2020-10-30,387,126,513
2020-10-31,394,126,520
2020-10-31,394,126,520
2020-10-31,394,126,520
2020-11-01,396,127,523
2020-11-01,396,127,523
2020-11-01,396,127,523
2020-11-02,396,133,529
2020-11-02,396,133,529
2020-11-02,396,133,529
2020-11-03,419,143,562
2020-11-03,419,143,562
2020-11-03,419,143,562
2020-11-04,441,154,595
2020-11-04,441,154,595
2020-11-04,441,154,595
2020-11-05,431,157,588
2020-11-05,431,157,588
2020-11-05,431,157,588
2020-11-06,457,152,609
2020-11-06,457,152,609
2020-11-06,457,152,609
2020-11-07,479,153,632
2020-11-07,479,153,632
2020-11-07,479,153,632
2020-11-08,492,163,655
2020-11-08,492,163,655
2020-11-08,492,163,655
2020-11-09,539,168,707
2020-11-09,539,168,707
2020-11-09,539,168,707
2020-11-10,585,176,761
2020-11-10,585,176,761
2020-11-10,585,176,761
2020-11-11,612,193,805
2020-11-11,612,193,805
2020-11-11,612,193,805
2020-11-12,664,199,863
2020-11-12,664,199,863
2020-11-12,664,199,863
2020-11-13,706,208,914
2020-11-13,706,208,914
2020-11-13,706,208,914
2020-11-14,703,218,921
2020-11-14,703,218,921
2020-11-14,703,218,921
2020-11-15,700,238,938
2020-11-15,700,238,938
2020-11-15,700,238,938
2020-11-16,748,237,985
2020-11-16,748,237,985
2020-11-16,748,237,985
2020-11-17,791,255,1046
2020-11-17,791,255,1046
2020-11-17,791,255,1046
2020-11-18,874,270,1144
2020-11-18,874,270,1144
2020-11-18,874,270,1144
2020-11-19,932,260,1192
2020-11-19,932,260,1192
2020-11-19,932,260,1192
2020-11-20,946,261,1207
2020-11-20,946,261,1207
2020-11-20,946,261,1207
2020-11-21,951,278,1229
2020-11-21,951,278,1229
2020-11-21,951,278,1229
2020-11-22,969,268,1237
2020-11-22,969,268,1237
2020-11-22,969,268,1237
2020-11-23,987,289,1276
2020-11-23,987,289,1276
2020-11-23,987,289,1276
2020-11-24,1027,314,1341
2020-11-24,1027,314,1341
2020-11-24,1027,314,1341
2020-11-25,1098,308,1406
2020-11-25,1098,308,1406
2020-11-25,1098,308,1406
2020-11-26,1114,339,1453
2020-11-26,1114,339,1453
2020-11-26,1114,339,1453
2020-11-27,1092,343,1435
2020-11-27,1092,343,1435
2020-11-27,1092,343,1435
2020-11-28,1095,351,1446
2020-11-28,1095,351,1446
2020-11-28,1095,351,1446
2020-11-29,1102,359,1461
2020-11-29,1102,359,1461
2020-11-29,1102,359,1461
2020-11-30,1183,344,1527
2020-11-30,1183,344,1527
2020-11-30,1183,344,1527
2020-12-01,1233,350,1583
2020-12-01,1233,350,1583
2020-12-01,1233,350,1583
2020-12-02,1219,359,1578
2020-12-02,1219,359,1578
2020-12-02,1219,359,1578
2020-12-03,1209,364,1573
2020-12-03,1209,364,1573
2020-12-03,1209,364,1573
2020-12-04,1227,367,1594
2020-12-04,1227,367,1594
2020-12-04,1227,367,1594
2020-12-05,1219,379,1598
2020-12-05,1219,379,1598
2020-12-05,1219,379,1598
2020-12-06,1183,393,1576
2020-12-06,1183,393,1576
2020-12-06,1183,393,1576
2020-12-07,1173,388,1561
2020-12-07,1173,388,1561
2020-12-07,1173,388,1561
2020-12-08,1257,396,1653
2020-12-08,1257,396,1653
2020-12-08,1257,396,1653
2020-12-09,1299,416,1715
2020-12-09,1299,416,1715
2020-12-09,1299,416,1715
2020-12-10,1304,416,1720
2020-12-10,1304,416,1720
2020-12-10,1304,416,1720
2020-12-11,1313,416,1729
2020-12-11,1313,416,1729
2020-12-11,1313,416,1729
2020-12-12,1313,406,1719
2020-12-12,1313,406,1719
2020-12-12,1313,406,1719
2020-12-13,1255,424,1679
2020-12-13,1255,424,1679
2020-12-13,1255,424,1679
2020-12-14,1338,404,1742
2020-12-14,1338,404,1742
2020-12-14,1338,404,1742
2020-12-15,1388,411,1799
2020-12-15,1388,411,1799
2020-12-15,1388,411,1799
2020-12-16,1363,399,1762
2020-12-16,1363,399,1762
2020-12-16,1363,399,1762
2020-12-17,1308,394,1702
2020-12-17,1308,394,1702
2020-12-17,1308,394,1702
2020-12-18,1287,399,1686
2020-12-18,1287,399,1686
2020-12-18,1287,399,1686
2020-12-19,1250,385,1635
2020-12-19,1250,385,1635
2020-12-19,1250,385,1635
2020-12-20,1256,406,1662
2020-12-20,1256,406,1662
2020-12-20,1256,406,1662
2020-12-21,1277,399,1676
2020-12-21,1277,399,1676
2020-12-21,1277,399,1676
2020-12-22,1317,400,1717
2020-12-22,1317,400,1717
2020-12-22,1317,400,1717
2020-12-23,1357,419,1776
2020-12-23,1357,419,1776
2020-12-23,1357,419,1776
2020-12-24,1334,426,1760
2020-12-24,1334,426,1760
2020-12-24,1334,426,1760
2020-12-25,1297,424,1721
2020-12-25,1297,424,1721
2020-12-25,1297,424,1721
2020-12-26,1261,424,1685
2020-12-26,1261,424,1685
2020-12-26,1261,424,1685
2020-12-27,1274,418,1692
2020-12-27,1274,418,1692
2020-12-27,1274,418,1692
2020-12-28,1315,423,1738
2020-12-28,1315,423,1738
2020-12-28,1315,423,1738
2020-12-29,1305,420,1725
2020-12-29,1305,420,1725
2020-12-29,1305,420,1725
2020-12-30,1346,410,1756
2020-12-30,1346,410,1756
2020-12-30,1346,410,1756
2020-12-31,1374,399,1773
2020-12-31,1374,399,1773
2020-12-31,1374,399,1773
2021-01-01,1346,388,1734
2021-01-01,1346,388,1734
2021-01-01,1346,388,1734
2021-01-02,1277,415,1692
2021-01-02,1277,415,1692
2021-01-02,1277,415,1692
2021-01-03,1297,412,1709
2021-01-03,1297,412,1709
2021-01-03,1297,412,1709
2021-01-04,1333,418,1751
2021-01-04,1333,418,1751
2021-01-04,1333,418,1751
2021-01-05,1361,410,1771
2021-01-05,1361,410,1771
2021-01-05,1361,410,1771
2021-01-06,1418,444,1862
2021-01-06,1418,444,1862
2021-01-06,1418,444,1862
2021-01-07,1407,427,1834
2021-01-07,1407,427,1834
2021-01-07,1407,427,1834
2021-01-08,1438,447,1885
2021-01-08,1438,447,1885
2021-01-08,1438,447,1885
2021-01-09,1428,449,1877
2021-01-09,1428,449,1877
2021-01-09,1428,449,1877
2021-01-10,1440,455,1895
2021-01-10,1440,455,1895
2021-01-10,1440,455,1895
2021-01-11,1493,447,1940
2021-01-11,1493,447,1940
2021-01-11,1493,447,1940
2021-01-12,1496,456,1952
2021-01-12,1496,456,1952
2021-01-12,1496,456,1952
2021-01-13,1475,454,1929
2021-01-13,1475,454,1929
2021-01-13,1475,454,1929
2021-01-14,1418,425,1843
2021-01-14,1418,425,1843
2021-01-14,1418,425,1843
2021-01-15,1427,421,1848
2021-01-15,1427,421,1848
2021-01-15,1427,421,1848
2021-01-16,1409,412,1821
2021-01-16,1409,412,1821
2021-01-16,1409,412,1821
2021-01-17,1415,408,1823
2021-01-17,1415,408,1823
2021-01-17,1415,408,1823
2021-01-18,1429,421,1850
2021-01-18,1429,421,1850
2021-01-18,1429,421,1850
2021-01-19,1464,411,1875
2021-01-19,1464,411,1875
2021-01-19,1464,411,1875
2021-01-20,1438,420,1858
2021-01-20,1438,420,1858
2021-01-20,1438,420,1858
2021-01-21,1388,424,1812
2021-01-21,1388,424,1812
2021-01-21,1388,424,1812
2021-01-22,1344,424,1768
2021-01-22,1344,424,1768
2021-01-22,1344,424,1768
2021-01-23,1312,405,1717
2021-01-23,1312,405,1717
2021-01-23,1312,405,1717
2021-01-24,1276,392,1668
2021-01-24,1276,392,1668
2021-01-24,1276,392,1668
2021-01-25,1274,395,1669
2021-01-25,1274,395,1669
2021-01-25,1274,395,1669
2021-01-26,1275,367,1642
2021-01-26,1275,367,1642
2021-01-26,1275,367,1642
2021-01-27,1273,374,1647
2021-01-27,1273,374,1647
2021-01-27,1273,374,1647
2021-01-28,1260,376,1636
2021-01-28,1260,376,1636
2021-01-28,1260,376,1636
2021-01-29,1249,367,1616
2021-01-29,1249,367,1616
2021-01-29,1249,367,1616
2021-01-30,1180,380,1560
2021-01-30,1180,380,1560
2021-01-30,1180,380,1560
2021-01-31,1107,364,1471
2021-01-31,1107,364,1471
2021-01-31,1107,364,1471
2021-02-01,1066,371,1437
2021-02-01,1066,371,1437
2021-02-01,1066,371,1437
2021-02-02,1101,366,1467
2021-02-02,1101,366,1467
2021-02-02,1101,366,1467
2021-02-03,1124,361,1485
2021-02-03,1124,361,1485
2021-02-03,1124,361,1485
2021-02-04,1086,340,1426
2021-02-04,1086,340,1426
2021-02-04,1086,340,1426
2021-02-05,1103,341,1444
2021-02-05,1103,341,1444
2021-02-05,1103,341,1444
2021-02-06,1082,337,1419
2021-02-06,1082,337,1419
2021-02-06,1082,337,1419
2021-02-07,1076,326,1402
2021-02-07,1076,326,1402
2021-02-07,1076,326,1402
2021-02-08,1095,318,1413
2021-02-08,1095,318,1413
2021-02-08,1095,318,1413